tid,mjd,fid,diffmaglim
ztf,59336.37436340004,2,20.407
ztf,59339.33234950015,2,20.5968
ztf,59341.400358799845,2,20.4186
ztf,59343.3275462999,2,20.5952
ztf,59345.3435531999,2,20.5754
ztf,59347.42063659988,1,21.4429
ztf,59349.32074069977,2,20.7456
ztf,59352.30204859981,2,20.4804
ztf,59354.40041670017,2,20.4356
ztf,59358.31586810015,2,19.5196
ztf,59361.38106480008,2,19.5824
ztf,59363.35826390004,2,20.193
ztf,59365.33913190011,2,20.4041
ztf,59369.31618059985,2,20.6641
ztf,59371.318460599985,2,20.7518
ztf,59374.275925899856,2,19.4318
ztf,59376.29515049979,2,20.6996
ztf,59378.296122699976,2,20.4574
ztf,59380.353773099836,2,20.1992
ztf,59382.331145800184,2,20.2707
ztf,59384.325705999974,2,19.9441
ztf,59386.210821799934,2,19.3328
ztf,59390.29379629996,2,19.7921
ztf,59392.352245400194,2,19.8437
ztf,59394.27347220015,2,20.4213
ztf,59396.322384300176,2,20.4092
ztf,59399.22847220022,2,20.6404
ztf,59401.315497700125,2,20.5403
ztf,59403.30998839997,2,20.4281
ztf,59407.19245370012,2,20.5352
ztf,59673.372777800076,2,20.2635
ztf,59951.533113399986,2,19.3214
ztf,59957.537754599936,1,19.0793
ztf,59967.551400499884,2,19.4663
ztf,59969.53910879977,2,20.3945
ztf,59972.51012729993,2,19.6508
ztf,60020.46348380018,2,20.4619
ztf,60030.43381940015,2,20.3707
ztf,60091.3435531999,2,20.3516
ztf,60093.38166669989,2,20.4473
ztf,60098.37417820003,2,19.4082
ztf,60100.26269679982,2,19.6732
ztf,60102.2131829001,2,19.474
ztf,60102.255590300076,1,18.0413
ztf,60104.35414349986,2,20.4696
ztf,60109.31793980021,2,20.4625
ztf,60111.29807869997,2,19.7665
ztf,60114.328530100174,2,20.3373
ztf,60116.289756900165,2,20.3816
ztf,60383.42603009986,2,19.7268
ztf,60389.50326390006,2,20.4629
ztf,60391.455590299796,2,20.053
ztf,60396.45508099999,2,19.5207
ztf,60398.425416700076,2,19.7785
ztf,60408.42550930008,2,20.5573
ztf,60409.38474539993,3,20.5527
ztf,60409.433877300005,2,21.2116
ztf,60410.44009259995,2,21.3646
ztf,60410.5110185002,3,20.4215
ztf,60411.4250810002,3,20.6985
ztf,60411.45744210016,2,21.3905
ztf,61049.566666699946,1,18.2776
ztf,61052.51842590002,2,19.2156
ztf,61054.55982640013,2,20.0527
ztf,61056.51901620021,2,19.7803
ztf,61058.531400499865,2,20.3135
ztf,61060.48752309987,2,20.1064
ztf,61065.46988430014,2,19.8037
